source_row,recipe,role,action,legacy_path,canonical_legacy_path,mapping_status,reference_label,dss_reference,dataset_name,snapshot_name,dss_subpath,upload_root
2,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv3_qwen_nocot_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
3,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,arxiv_chart_alignment,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
3,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,nonarxiv_chart,dss://nonarxiv_chart@v0,nonarxiv_chart,v0,,
4,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_descriptive_task_nonapplicable_ratio22,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_descriptive_task_nonapplicable_ratio22,mapped,,dss://nano_v35_chart_image_descriptive_task_nonapplicable_ratio22@v0,nano_v35_chart_image_descriptive_task_nonapplicable_ratio22,v0,,
5,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/arxiv_chart_alignment,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data/arxiv_chart_alignment,mapped,media_source,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
6,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv4_arxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
7,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,media_source,dss://arxiv_chart_alignment@v0,arxiv_chart_alignment,v0,,
8,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,mapped,,dss://nano_v35_chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320@v0,nano_v35_chart_image_reasoningv4_nonarxiv_1002_qwen3p5_cleaned_formatted_fixthink0319_cleaned0320,v0,,
9,v14_vlm_16k,auxiliary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,/lustre/fs1/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/eagle-next/image_data/commercial_sft_data,mapped,media_source,dss://nonarxiv_chart@v0,nonarxiv_chart,v0,,
10,v14_vlm_16k,primary,verified_previous_v14,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/asohrabizade/workspace/datasets/nano-v3_judge-filtered_keep-leakage-filtered/chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,mapped,,dss://nano_v35_chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319@v0,nano_v35_chart_image_reasoningv4_arxiv_1002_remaining_nonqwen3p5_fixthink0319,v0,,
